tree_filename	MetaPhlAn_version	tree_Ntips	md5sum
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.10	10430	15bffd0bc3ecd90a2ebb36ab67aa7c2d
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.11	10430	15bffd0bc3ecd90a2ebb36ab67aa7c2d
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.12	10430	15bffd0bc3ecd90a2ebb36ab67aa7c2d
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.13	10430	15bffd0bc3ecd90a2ebb36ab67aa7c2d
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.14	10430	15bffd0bc3ecd90a2ebb36ab67aa7c2d
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.3	10430	8aedeec8c4f7caf544771c6e2af5aceb
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.4	10430	8aedeec8c4f7caf544771c6e2af5aceb
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.5	10430	8aedeec8c4f7caf544771c6e2af5aceb
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.6	10430	8aedeec8c4f7caf544771c6e2af5aceb
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.7	10430	8aedeec8c4f7caf544771c6e2af5aceb
mpa_v30_CHOCOPhlAn_201901_species_tree.nwk	3.0.9	10430	15bffd0bc3ecd90a2ebb36ab67aa7c2d
mpa_v31_CHOCOPhlAn_201901_species_tree.nwk	3.1.0	12428	4ee9e29a6ec5b2149e1a760c5ba3912f
mpa_vJan21_CHOCOPhlAnSGB_202103.nwk	4.0.3	26931	d00a7e0a89ad4320567a82f3403c016e
mpa_vJan21_CHOCOPhlAnSGB_202103.nwk	4.0.4	26931	d00a7e0a89ad4320567a82f3403c016e
mpa_vJan21_CHOCOPhlAnSGB_202103.nwk	4.0.6	26931	d00a7e0a89ad4320567a82f3403c016e
mpa_vJan21_CHOCOPhlAnSGB_202103.nwk	4.1.2	26931	d00a7e0a89ad4320567a82f3403c016e
mpa_vJun23_CHOCOPhlAnSGB_202307.nwk	4.1.2	36273	b141b49693f541ae491605d2f1cfc981
mpa_vJun23_CHOCOPhlAnSGB_202403.nwk	4.1.2	36273	b141b49693f541ae491605d2f1cfc981
mpa_vOct22_CHOCOPhlAnSGB_202212.nwk	4.1.2	30211	d65e24887a098e2b2ff2f145bf652869
mpa_vJan25_CHOCOPhlAnSGB_202503.nwk	4.2.0	57665	a61d1224f8475bfc5e25985e2314d3fd
